sample_id,band,dataset,uploader,pitch_med,episode_index,start,ep_length,motion_deg,input_sharpness,codec,eye
vp_00020,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,0,87,175,526.3997802734375,281.85524452818765,av1,T
vp_00021,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,10,84,175,534.389404296875,333.3039816019694,av1,T
vp_00022,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,19,139,175,477.4671630859375,235.41454814782676,av1,T
vp_00023,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,29,16,174,425.3725082874298,268.9561094868554,av1,T
vp_00024,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,0,21,90,344.4587707519531,511.27285613376824,av1,T
vp_00025,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,16,4,85,321.9830627441406,686.4799323201074,av1,T
vp_00026,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,33,7,84,358.01513671875,675.6285454854328,av1,T
vp_00027,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,49,50,73,352.2254638671875,1937.0912237847228,av1,T
vp_00028,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,0,30,90,369.6251525878906,106.60074581057229,av1,T
vp_00029,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,34,27,90,429.1942138671875,108.15791101985506,av1,T
vp_00030,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,69,55,90,381.54681396484375,140.38997390030758,av1,T
vp_00031,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,103,31,90,671.7961120605469,36.35539595488442,av1,T
vp_00032,top_down,lirislab/open_top_drawer_teabox,lirislab,7.951162129156478,0,8,66,445.8922119140625,29.488845070351495,h264,T
vp_00033,top_down,lirislab/open_top_drawer_teabox,lirislab,7.951162129156478,10,3,59,475.78072214126587,25.88564778178533,h264,T
vp_00034,top_down,lirislab/open_top_drawer_teabox,lirislab,7.951162129156478,19,5,59,469.7060852050781,28.450898411009046,h264,T
vp_00035,top_down,lirislab/open_top_drawer_teabox,lirislab,7.951162129156478,29,6,54,487.09405517578125,25.503561189609105,h264,T
vp_00036,top_down,roboticshack/team-7-left-arm-grasp-motor,roboticshack,8.903432063294307,0,75,120,466.40625,247.62609313582314,av1,T
vp_00037,top_down,roboticshack/team-7-left-arm-grasp-motor,roboticshack,8.903432063294307,33,90,120,360.44921875,262.9946100036197,av1,T
vp_00038,top_down,roboticshack/team-7-left-arm-grasp-motor,roboticshack,8.903432063294307,66,92,120,467.880859375,272.01820571691724,av1,T
vp_00039,top_down,roboticshack/team-7-left-arm-grasp-motor,roboticshack,8.903432063294307,99,24,120,330.9375,263.7626541319848,av1,T
vp_00040,top_down,356c/so100_duck_reposition_1,356c,11.23641570943012,0,12,179,270.1171875,2491.7283812014157,av1,T
vp_00041,top_down,356c/so100_duck_reposition_1,356c,11.23641570943012,20,5,167,293.2819519042969,2438.097064665689,av1,T
vp_00042,top_down,356c/so100_duck_reposition_1,356c,11.23641570943012,39,97,134,326.95159912109375,2245.7195985432836,av1,T
vp_00043,top_down,356c/so100_duck_reposition_1,356c,11.23641570943012,59,103,164,301.16656494140625,2519.876163894134,av1,T
vp_00044,top_down,roboticshack/left-arm-grasp-lego-brick,roboticshack,11.523048317621186,0,71,120,279.58984375,251.66428245438468,av1,T
vp_00045,top_down,roboticshack/left-arm-grasp-lego-brick,roboticshack,11.523048317621186,33,92,120,310.185546875,271.6086346766049,av1,T
vp_00046,top_down,roboticshack/left-arm-grasp-lego-brick,roboticshack,11.523048317621186,66,79,120,325.46875,244.6408619594574,av1,T
vp_00047,top_down,roboticshack/left-arm-grasp-lego-brick,roboticshack,11.523048317621186,99,77,120,376.044921875,259.318331891844,av1,T
vp_00048,top_down,Ityl/so100_recording2,Ityl,11.530535598372085,0,29,62,364.9384460449219,53.06584145439995,av1,T
vp_00049,top_down,Ityl/so100_recording2,Ityl,11.530535598372085,15,3,55,411.74586391448975,41.160960287634545,av1,T
vp_00050,top_down,Ityl/so100_recording2,Ityl,11.530535598372085,30,3,55,256.54931640625,40.46520839562947,av1,T
vp_00051,top_down,Ityl/so100_recording2,Ityl,11.530535598372085,44,3,58,508.67768478393555,38.24394347631669,av1,T
vp_00052,top_down,Odog16/so100_cube_stacking_v1,Odog16,14.280536559308068,0,86,167,301.81280517578125,2056.205911441379,h264,T
vp_00053,top_down,Odog16/so100_cube_stacking_v1,Odog16,14.280536559308068,16,4,136,330.1251525878906,880.184405788167,h264,T
vp_00054,top_down,Odog16/so100_cube_stacking_v1,Odog16,14.280536559308068,33,13,153,370.58072662353516,718.6182233360186,h264,T
vp_00055,top_down,Odog16/so100_cube_stacking_v1,Odog16,14.280536559308068,49,14,134,425.6636657714844,733.86543944167,h264,T
vp_00056,mid,ganker5/so100_dataline_20250331,ganker5,25.39174223796516,0,95,129,163.06448364257812,79.00648111672932,h264,L
vp_00057,mid,ganker5/so100_dataline_20250331,ganker5,25.39174223796516,16,87,129,210.1351318359375,78.13929621272618,h264,L
vp_00058,mid,ganker5/so100_dataline_20250331,ganker5,25.39174223796516,33,77,113,210.9837646484375,97.26070009230507,h264,L
vp_00059,mid,ganker5/so100_dataline_20250331,ganker5,25.39174223796516,49,91,118,249.0980224609375,62.45968306976956,h264,L
vp_00060,mid,samsam0510/tooth_extraction_4,samsam0510,25.70325560689772,0,62,81,437.471923828125,104.48560635324053,h264,L
vp_00061,mid,samsam0510/tooth_extraction_4,samsam0510,25.70325560689772,66,37,55,326.7228698730469,95.0377465646426,h264,L
vp_00062,mid,samsam0510/tooth_extraction_4,samsam0510,25.70325560689772,133,18,59,427.3360900878906,93.53935085168413,h264,L
vp_00063,mid,samsam0510/tooth_extraction_4,samsam0510,25.70325560689772,199,7,73,525.1650390625,97.44486968357296,h264,L
vp_00064,mid,dragon-95/so100_sorting_2,dragon-95,26.034667554899457,0,142,181,622.798828125,705.0506738278601,av1,L
vp_00065,mid,dragon-95/so100_sorting_2,dragon-95,26.034667554899457,73,70,97,761.311767578125,759.4073827692562,av1,L
vp_00066,mid,dragon-95/so100_sorting_2,dragon-95,26.034667554899457,145,198,225,607.024169921875,746.9853794987997,av1,L
vp_00067,mid,dragon-95/so100_sorting_2,dragon-95,26.034667554899457,219,41,151,651.951171875,771.4902115829361,av1,L
vp_00068,mid,jlesein/TestBoulon7,jlesein,26.24695182725172,0,55,79,328.9013671875,467.8665227846675,h264,L
vp_00069,mid,jlesein/TestBoulon7,jlesein,26.24695182725172,132,5,43,505.9969506263733,456.514615980265,h264,L
vp_00070,mid,jlesein/TestBoulon7,jlesein,26.24695182725172,265,19,43,446.0023498535156,784.19206253678,h264,L
vp_00071,mid,jlesein/TestBoulon7,jlesein,26.24695182725172,399,11,54,524.8434162139893,643.9744869740382,h264,L
vp_00072,mid,AndrejOrsula/lerobot_double_ball_stacking_random,AndrejOrsula,26.413615480610535,0,9,62,466.57439041137695,120.56062133721244,h264,L
vp_00073,mid,AndrejOrsula/lerobot_double_ball_stacking_random,AndrejOrsula,26.413615480610535,13,90,107,298.874267578125,127.6268587408702,h264,L
vp_00074,mid,AndrejOrsula/lerobot_double_ball_stacking_random,AndrejOrsula,26.413615480610535,27,7,46,273.44921875,109.63043001030816,h264,L
vp_00075,mid,AndrejOrsula/lerobot_double_ball_stacking_random,AndrejOrsula,26.413615480610535,40,67,83,458.4285888671875,125.25702775080998,h264,L
vp_00076,mid,lirislab/put_coffee_cap_teabox,lirislab,26.96662486569349,0,8,97,404.93499755859375,60.39148514539932,av1,L
vp_00077,mid,lirislab/put_coffee_cap_teabox,lirislab,26.96662486569349,13,12,86,354.13492584228516,66.19210534794068,av1,L
vp_00078,mid,lirislab/put_coffee_cap_teabox,lirislab,26.96662486569349,26,33,58,320.0911865234375,38.320046252685124,av1,L
vp_00079,mid,lirislab/put_coffee_cap_teabox,lirislab,26.96662486569349,39,3,65,402.781494140625,63.44018627861871,av1,L
vp_00080,mid,tkc79/so100_lego_box_2,tkc79,28.29372066792561,0,19,90,319.3011474609375,152.59170560557047,av1,L
vp_00081,mid,tkc79/so100_lego_box_2,tkc79,28.29372066792561,16,4,90,383.34033203125,160.3271654051039,av1,L
vp_00082,mid,tkc79/so100_lego_box_2,tkc79,28.29372066792561,34,39,90,430.40655517578125,169.9273988680415,av1,L
vp_00083,mid,tkc79/so100_lego_box_2,tkc79,28.29372066792561,50,35,90,404.36376953125,199.1344391245418,av1,L
vp_00084,mid,triton7777/so100_dataset_mix,triton7777,29.38106211869899,0,14,90,527.6436462402344,141.2517744945844,h264,L
vp_00085,mid,triton7777/so100_dataset_mix,triton7777,29.38106211869899,21,381,536,787.09912109375,127.16282869210772,h264,L
vp_00086,mid,triton7777/so100_dataset_mix,triton7777,29.38106211869899,43,2,60,556.5070190429688,176.50181954904136,h264,L
vp_00087,mid,triton7777/so100_dataset_mix,triton7777,29.38106211869899,64,14,119,502.1864318847656,122.96562623162795,h264,L
vp_00088,mid,samsam0510/tooth_extraction_3,samsam0510,29.595459609483527,0,61,82,321.46246337890625,105.40990567203097,h264,L
vp_00089,mid,samsam0510/tooth_extraction_3,samsam0510,29.595459609483527,33,48,65,346.3465576171875,101.34315637054443,h264,L
vp_00090,mid,samsam0510/tooth_extraction_3,samsam0510,29.595459609483527,66,32,53,308.53631591796875,98.19255643080605,h264,L
vp_00091,mid,samsam0510/tooth_extraction_3,samsam0510,29.595459609483527,99,52,71,355.18865966796875,87.69429489126206,h264,L
vp_00092,mid,roboticshack/team13-two-balls-stacking,roboticshack,30.84118115044246,0,46,66,346.37896728515625,85.54500228372152,h264,L
vp_00093,mid,roboticshack/team13-two-balls-stacking,roboticshack,30.84118115044246,17,4,52,334.9247741699219,75.52847262945177,h264,L
vp_00094,mid,roboticshack/team13-two-balls-stacking,roboticshack,30.84118115044246,33,4,42,395.00286865234375,173.04293605498205,h264,L
vp_00095,mid,roboticshack/team13-two-balls-stacking,roboticshack,30.84118115044246,50,32,48,377.1710205078125,169.51047826130122,h264,L
vp_00096,mid,frk2/so100largediffcam,frk2,31.97842661137241,0,0,90,391.86151123046875,936.1906816034848,av1,T
vp_00097,mid,frk2/so100largediffcam,frk2,31.97842661137241,16,3,90,283.49554443359375,949.2991456975303,av1,T
vp_00098,mid,frk2/so100largediffcam,frk2,31.97842661137241,33,60,90,222.30410766601562,936.8949009907615,av1,T
vp_00099,mid,frk2/so100largediffcam,frk2,31.97842661137241,49,4,90,253.54547119140625,884.6531333622297,av1,T
vp_00100,mid,roboticshack/team13-three-balls-stacking,roboticshack,33.084795810069,0,7,100,411.44482421875,414.8115299045139,h264,L
vp_00101,mid,roboticshack/team13-three-balls-stacking,roboticshack,33.084795810069,33,86,102,325.04248046875,481.72715880923806,h264,L
vp_00102,mid,roboticshack/team13-three-balls-stacking,roboticshack,33.084795810069,67,75,93,390.667724609375,425.2123925715023,h264,L
vp_00103,mid,roboticshack/team13-three-balls-stacking,roboticshack,33.084795810069,100,88,107,430.5318603515625,495.1007856714884,h264,L
vp_00104,mid,CSCSXX/pick_place_cube_1.18,CSCSXX,35.8344118389633,0,1,44,386.6146240234375,157.9855189818912,av1,L
vp_00105,mid,CSCSXX/pick_place_cube_1.18,CSCSXX,35.8344118389633,16,1,63,301.2523603439331,170.73831621292967,av1,L
vp_00106,mid,CSCSXX/pick_place_cube_1.18,CSCSXX,35.8344118389633,33,0,78,303.18157958984375,189.27337729454038,av1,L
vp_00107,mid,CSCSXX/pick_place_cube_1.18,CSCSXX,35.8344118389633,49,30,47,379.0679626464844,164.82207825163732,av1,L
vp_00108,mid,Bartm3/dice2,Bartm3,36.6558578511176,0,31,56,388.8973083496094,178.8853709791396,av1,L
vp_00109,mid,Bartm3/dice2,Bartm3,36.6558578511176,65,30,52,453.1409912109375,222.079833979702,av1,L
vp_00110,mid,Bartm3/dice2,Bartm3,36.6558578511176,131,44,64,428.60845947265625,100.1901073984676,av1,L
vp_00111,mid,Bartm3/dice2,Bartm3,36.6558578511176,196,5,65,383.4700927734375,125.66036423233881,av1,L
vp_00112,side,pierfabre/pig2,pierfabre,56.35343099373553,0,13,108,414.0777931213379,154.4298742763837,av1,L
vp_00113,side,pierfabre/pig2,pierfabre,56.35343099373553,16,12,107,363.19389724731445,172.94241231069572,av1,L
vp_00114,side,pierfabre/pig2,pierfabre,56.35343099373553,33,11,108,364.27196502685547,186.99925181681314,av1,L
vp_00115,side,pierfabre/pig2,pierfabre,56.35343099373553,49,34,108,466.81695556640625,145.4709826804161,av1,L
vp_00116,side,pierfabre/sheep,pierfabre,58.88280832295197,0,47,108,398.7034606933594,153.87638444763817,av1,L
vp_00117,side,pierfabre/sheep,pierfabre,58.88280832295197,20,39,108,369.1739196777344,162.11166314136716,av1,L
vp_00118,side,pierfabre/sheep,pierfabre,58.88280832295197,39,37,108,484.2430419921875,191.40669042450585,av1,L
vp_00119,side,pierfabre/sheep,pierfabre,58.88280832295197,59,39,107,365.04443359375,185.2474824184735,av1,L
vp_00120,side,paszea/so100_whale_3,paszea,59.4086393145018,0,80,110,374.7899169921875,579.5943671616872,h264,L
vp_00121,side,paszea/so100_whale_3,paszea,59.4086393145018,11,64,112,300.7582092285156,581.2329528418225,h264,L
vp_00122,side,paszea/so100_whale_3,paszea,59.4086393145018,23,77,104,399.384033203125,388.8922532629965,h264,L
vp_00123,side,paszea/so100_whale_3,paszea,59.4086393145018,34,17,112,308.83072543144226,467.5624192681203,h264,L
vp_00124,side,pietroom/actualeasytask,pietroom,60.01151162775327,0,20,60,291.0042724609375,772.5817818196192,av1,L
vp_00125,side,pietroom/actualeasytask,pietroom,60.01151162775327,20,43,60,366.99871826171875,685.5361192169081,av1,L
vp_00126,side,pietroom/actualeasytask,pietroom,60.01151162775327,39,7,60,371.0513000488281,793.1207373123062,av1,L
vp_00127,side,pietroom/actualeasytask,pietroom,60.01151162775327,59,7,60,431.5231018066406,844.2584383326212,av1,L
vp_00128,side,paszea/so100_whale_4,paszea,60.43018076227061,0,82,110,562.23779296875,389.00396198713497,h264,L
vp_00129,side,paszea/so100_whale_4,paszea,60.43018076227061,20,16,111,521.2002944946289,429.1267440191904,h264,L
vp_00130,side,paszea/so100_whale_4,paszea,60.43018076227061,39,16,114,375.61558723449707,460.8012852803443,h264,L
vp_00131,side,paszea/so100_whale_4,paszea,60.43018076227061,59,106,136,407.0213623046875,425.0798520707449,h264,L
vp_00132,side,bensprenger/chess_game_001_blue_stereo,bensprenger,62.93866392899136,0,11,74,305.3224220275879,447.8822667710622,av1,L
vp_00133,side,bensprenger/chess_game_001_blue_stereo,bensprenger,62.93866392899136,102,26,52,298.53570556640625,428.273066633055,av1,L
vp_00134,side,bensprenger/chess_game_001_blue_stereo,bensprenger,62.93866392899136,204,45,70,297.9850769042969,354.62691010500595,av1,L
vp_00135,side,bensprenger/chess_game_001_blue_stereo,bensprenger,62.93866392899136,307,53,78,325.73583984375,349.5791842244043,av1,L
vp_00136,side,FeiYjf/new_GtoR,FeiYjf,63.314307583031486,0,121,148,262.62640380859375,500.43626608860234,av1,L
vp_00137,side,FeiYjf/new_GtoR,FeiYjf,63.314307583031486,125,10,62,409.04296875,341.53756301523845,av1,L
vp_00138,side,FeiYjf/new_GtoR,FeiYjf,63.314307583031486,252,54,73,308.4774475097656,223.30470725907222,av1,L
vp_00139,side,FeiYjf/new_GtoR,FeiYjf,63.314307583031486,377,32,65,253.4765625,277.44400164451594,av1,L
vp_00140,side,koenvanwijk/orange50-1,koenvanwijk,63.35405699024052,0,11,35,356.7171325683594,912.3257661863539,av1,L
vp_00141,side,koenvanwijk/orange50-1,koenvanwijk,63.35405699024052,16,15,35,466.4007873535156,870.4608329427084,av1,L
vp_00142,side,koenvanwijk/orange50-1,koenvanwijk,63.35405699024052,33,0,29,407.0509948730469,1010.0086482492661,av1,L
vp_00143,side,koenvanwijk/orange50-1,koenvanwijk,63.35405699024052,49,7,29,433.7898254394531,911.6899981368913,av1,L
vp_00144,side,koenvanwijk/orange50-variation-2,koenvanwijk,64.85584643452418,0,2,26,406.2197265625,871.6112055964044,av1,L
vp_00145,side,koenvanwijk/orange50-variation-2,koenvanwijk,64.85584643452418,16,10,28,455.7591552734375,907.2047599588923,av1,L
vp_00146,side,koenvanwijk/orange50-variation-2,koenvanwijk,64.85584643452418,33,6,22,501.0561828613281,862.6850287473891,av1,L
vp_00147,side,koenvanwijk/orange50-variation-2,koenvanwijk,64.85584643452418,49,7,32,422.7051544189453,914.7831314127606,av1,L
vp_00148,side,therarelab/so100_pick_place_2,therarelab,75.34040160832555,0,49,80,380.9139404296875,1734.4217966499227,av1,L
vp_00149,side,therarelab/so100_pick_place_2,therarelab,75.34040160832555,20,44,66,375.5513916015625,1723.6877196947628,av1,L
vp_00150,side,therarelab/so100_pick_place_2,therarelab,75.34040160832555,39,59,89,348.17816162109375,1139.5109308049523,av1,L
vp_00151,side,therarelab/so100_pick_place_2,therarelab,75.34040160832555,59,53,84,397.427978515625,946.169677188354,av1,L
vp_00152,side,Mwuqiu/so100_0408_muti,Mwuqiu,75.96164340210129,0,39,114,281.5291442871094,137.56883592389428,h264,L
vp_00153,side,Mwuqiu/so100_0408_muti,Mwuqiu,75.96164340210129,22,79,109,266.07476806640625,117.18326954735649,h264,L
vp_00154,side,Mwuqiu/so100_0408_muti,Mwuqiu,75.96164340210129,43,49,78,331.09600830078125,126.11611113548278,h264,L
vp_00155,side,Mwuqiu/so100_0408_muti,Mwuqiu,75.96164340210129,65,44,69,367.6651916503906,137.38861792246502,h264,L
vp_00156,side,roboticshack/team9-pick_chicken_place_plate,roboticshack,76.62829925918774,0,32,51,498.5108642578125,581.8319397296483,h264,L
vp_00157,side,roboticshack/team9-pick_chicken_place_plate,roboticshack,76.62829925918774,23,46,67,510.10870361328125,595.5781891757542,h264,L
vp_00158,side,roboticshack/team9-pick_chicken_place_plate,roboticshack,76.62829925918774,45,28,48,459.4342956542969,364.25505489322865,h264,L
vp_00159,side,roboticshack/team9-pick_chicken_place_plate,roboticshack,76.62829925918774,68,13,63,513.22314453125,383.2944912970226,h264,L
vp_00160,side,lirislab/sweep_tissue_cube,lirislab,85.82240037514103,0,2,98,387.509765625,123.60321927972369,h264,L
vp_00161,side,lirislab/sweep_tissue_cube,lirislab,85.82240037514103,10,3,82,438.837890625,113.76379552951389,h264,L
vp_00162,side,lirislab/sweep_tissue_cube,lirislab,85.82240037514103,19,56,122,375.99609375,101.86848832014932,h264,L
vp_00163,side,lirislab/sweep_tissue_cube,lirislab,85.82240037514103,29,3,96,426.62109375,135.3209239663018,h264,L
vp_00164,side,lirislab/so100_demo,lirislab,86.18551938716652,0,6,131,299.2517852783203,90.39746312788859,h264,L
vp_00165,side,lirislab/so100_demo,lirislab,86.18551938716652,10,69,100,302.2086181640625,138.60618457501732,h264,L
vp_00166,side,lirislab/so100_demo,lirislab,86.18551938716652,20,6,98,382.802734375,64.99742978031372,h264,L
vp_00167,side,lirislab/so100_demo,lirislab,86.18551938716652,29,5,140,340.56707763671875,48.36988271073234,h264,L
