dataset,n_frames_probed,pitch_med,pitch_p25,pitch_p75,pitch_iqr,pitch_med_fov50,pitch_med_fov70,plane_inlier_med,depth_p50_med,frac_in_B_band,n_episodes,n_frames,eye,auto,like_setup
lirislab/open_top_drawer_teabox,24,7.951162129156478,5.438077143879401,11.641309442222134,6.2032322983427335,10.087307841882538,6.490171199073452,0.6672867063492063,1.138397753238678,0.0,30,1931,T,top_down,A류(내려다봄)
sihyun77/sihyun_main_2,24,8.193047460116947,6.513102311460124,9.876200011630772,3.3630977001706475,10.360936398740357,7.3774139132090655,0.6817956349206349,1.3170237839221954,0.0,50,5819,T,top_down,A류(내려다봄)
lirislab/red_cube_into_green_lego_block,24,8.228440497074695,5.263614897234426,12.080341789838315,6.816726892603889,11.188575045027775,6.656059072125112,0.6156994047619048,0.9802760928869247,0.0,30,2303,T,top_down,A류(내려다봄)
sihyun77/sihyun_main_3,24,8.899207922634906,7.609689120602711,10.024336151588457,2.414647030985746,10.936867271567198,7.202469366649334,0.7157738095238095,1.0304403007030487,0.0,30,3506,T,top_down,A류(내려다봄)
roboticshack/team-7-left-arm-grasp-motor,24,8.903432063294307,6.004101809953459,12.799190776375323,6.795088966421863,11.28517839285303,7.232150185987558,0.4095362103174603,1.8857692778110504,0.0,99,11880,T,top_down,A류(내려다봄)
sihyun77/sihyun_3_17_5,24,9.1087030009427,7.567675777925922,9.793403932141706,2.2257281542157834,10.735849125879621,7.372805552568258,0.5138888888888888,1.673296421766281,0.0,30,6702,T,top_down,A류(내려다봄)
sihyun77/suho_main_2,24,9.111502363552816,7.238376553623729,10.348311559198734,3.1099350055750055,10.899650522927288,7.032036202481214,0.6877480158730158,1.3896809220314026,0.0,53,6152,T,top_down,A류(내려다봄)
Jiangeng/so100_413,24,9.19157381844707,6.45398074724159,13.273133925352035,6.819153178110445,10.972022274622153,6.807547483719642,0.558655753968254,1.333679735660553,0.0,50,3590,?,top_down,A류(내려다봄)
liuhuanjim013/so100_th,24,9.48990850423605,6.386165076584017,10.865425535229985,4.4792604586459674,11.868168396442938,7.5899119706939615,0.4805927579365079,1.0751592218875885,0.0,74,7477,L,top_down,A류(내려다봄)
Loki0929/so100_duck,24,9.747968410030623,8.310583299890233,10.296532913197098,1.9859496133068646,12.004592669729078,7.726937083753065,0.47885664682539675,1.8426977694034576,0.0,300,26778,?,top_down,A류(내려다봄)
vladfatu/so100_above,24,9.751317964119458,8.836539898445354,10.842398375847331,2.0058584774019774,12.925187623029338,7.668794761534951,0.31932043650793646,1.4162653982639313,0.0,50,6000,L,top_down,A류(내려다봄)
HITHY/so100_peach4,24,9.860584013386994,4.74504341748942,15.12407432869302,10.3790309112036,10.907699252253039,8.42872643444455,0.3609250992063492,1.151294469833374,0.0,400,19841,L,top_down,A류(내려다봄)
sihyun77/suho_3_17_3,24,10.068976458817144,8.844250353037165,10.992181977954267,2.1479316249171028,12.279858821250695,8.193976312109692,0.6589161706349207,1.3755753934383392,0.0,50,7009,T,top_down,A류(내려다봄)
sihyun77/sihyun_3_17_2,24,10.596614120486896,9.319403833524603,11.408550963596989,2.0891471300723854,13.107013016608118,8.840318185095168,0.5475570436507937,1.6545007228851318,0.0,30,5043,T,top_down,A류(내려다봄)
lirislab/put_banana_bowl,24,10.80027489727994,9.60535473113544,12.951146573967677,3.345791842832236,13.428194197359288,8.874150262691765,0.6576140873015872,1.0596576035022736,0.0,30,1955,T,top_down,A류(내려다봄)
sixpigs1/so100_pick_cube_in_box,24,10.861557406498797,9.550228089673194,13.761464424856168,4.211236335182974,14.06450497119373,8.903520307940665,0.5145089285714286,1.210427612066269,0.0,100,5686,T,top_down,A류(내려다봄)
356c/so100_duck_reposition_1,24,11.23641570943012,7.291939750754631,13.329889054532618,6.037949303777987,14.178051412729772,9.34967514677212,0.5532614087301587,1.3548631370067596,0.0,60,9773,T,top_down,A류(내려다봄)
roboticshack/left-arm-grasp-lego-brick,24,11.523048317621186,8.399089522709403,15.918645036027648,7.519555513318245,14.007817522834555,9.341105190816767,0.39936755952380953,1.5979469418525696,0.041666666666666664,99,11880,T,top_down,A류(내려다봄)
lirislab/red_cube_into_blue_cube,24,11.530535598372085,7.8109099010858625,13.77071167420761,5.959801773121747,13.417835783360085,8.410374098311967,0.5326760912698413,1.157728910446167,0.0,45,2747,T,top_down,A류(내려다봄)
Ityl/so100_recording2,24,11.530535598372085,7.8109099010858625,13.77071167420761,5.959801773121747,13.417835783360085,8.410374098311967,0.5326760912698413,1.157728910446167,0.0,45,2747,T,top_down,A류(내려다봄)
HITHY/so100_peach3,24,11.777733245933945,10.35564206822098,13.983074860621432,3.6274327924004517,15.289456147906971,9.629640137998887,0.3842385912698413,1.2152124047279358,0.0,100,5363,L,top_down,A류(내려다봄)
lirislab/push_cup_target,24,11.787888177960067,9.489348267840658,13.365808693803814,3.876460425963156,15.276420086482798,9.97508338833177,0.5084325396825397,1.078552782535553,0.041666666666666664,30,1718,T,top_down,A류(내려다봄)
roboticshack/team-7-right-arm-grasp-tape,24,12.314997271350563,7.9757975137687875,14.91986132441226,6.944063810643472,15.26209504935625,10.534917315364199,0.3637152777777778,1.7990193665027618,0.0,100,12000,T,top_down,A류(내려다봄)
HITHY/so100_strawberry,24,12.508927039447261,9.96158776348022,15.030310352728389,5.0687225892481695,16.457186031672386,10.87118350355087,0.4269593253968254,1.1366409659385681,0.0,153,8229,L,top_down,A류(내려다봄)
Odog16/so100_cube_stacking_v1,24,14.280536559308068,11.24681269494231,16.330072170322776,5.083259475380466,17.198534325770254,11.681806572354155,0.48890128968253965,1.7435400187969208,0.0,50,7761,T,top_down,A류(내려다봄)
pranavsaroha/so100_carrot_5,24,14.635048922239417,12.481573507393463,18.096747576688845,5.6151740692953815,19.886777954401722,12.599042842735818,0.5189112103174602,1.0325857102870941,0.0,61,4863,L,top_down,A류(내려다봄)
356c/so100_nut_sort_1,24,15.02234558958488,11.063513401080685,16.797486703552657,5.733973302471972,18.059650428092453,12.671632096360902,0.5804811507936508,1.524440973997116,0.0,60,8698,T,top_down,A류(내려다봄)
vladfatu/so100_office,24,15.11752620619253,14.158380273537698,15.662450687790447,1.5040704142527481,18.700044964004405,12.613184806661401,0.552703373015873,1.6476354897022247,0.0,50,5997,?,top_down,A류(내려다봄)
00ri/so100_battery_bin_center,24,15.368445675301109,14.590619695238324,16.824352970244064,2.23373327500574,18.92599013011945,12.899059900813015,0.472594246031746,1.7278017699718475,0.0,50,3562,T,top_down,A류(내려다봄)
weiye11/so100_410_zwy,24,15.639118310683505,13.421221393160224,18.73182567360211,5.310604280441886,18.695711731379557,12.51283841730509,0.6905381944444444,1.2670144736766815,0.041666666666666664,101,7252,T,top_down,A류(내려다봄)
lirislab/fold_bottom_right,24,15.798452059619585,13.347502736313821,18.088463592309743,4.740960855995922,19.463348361131253,13.223867111115018,0.4283234126984127,1.0222173631191254,0.041666666666666664,30,2254,T,top_down,A류(내려다봄)
ZGGZZG/so100_drop0,24,15.864825449764432,12.05505766800928,19.588049864936217,7.532992196926937,19.93561727636154,13.129840657214972,0.5692584325396826,1.3338599503040314,0.0,33,3183,L,top_down,A류(내려다봄)
Chojins/chess_game_001_red_stereo,24,15.880383484467629,10.160722698242253,26.517960192032135,16.35723749378988,20.35025402547641,12.85080172457136,0.5886036706349207,1.6422254741191864,0.25,535,47079,T,top_down,A류(내려다봄)
bensprenger/right_arm_p_brick_in_box_with_y_noise_v0,24,16.127770467123455,13.437647477372945,19.572049347188937,6.134401869815992,20.01899619398864,13.048004714961682,0.42485119047619047,2.2058553099632263,0.041666666666666664,47,5625,L,top_down,A류(내려다봄)
jpata/so100_pick_place_tangerine,24,16.38739366955018,15.071607299544404,17.629639674378673,2.5580323748342693,19.6529786515629,13.64229658020674,0.5805431547619048,2.089514911174774,0.0,100,4820,L,top_down,A류(내려다봄)
LemonadeDai/so100_coca,24,16.50800476813754,11.335126054278437,18.825872089156803,7.4907460348783665,20.766602464082588,13.599447502162535,0.5076264880952381,1.3526239693164825,0.0,50,3000,L,top_down,A류(내려다봄)
Chojins/chess_game_001_blue_stereo,24,17.019367885798797,11.723489937214858,24.411926902109823,12.688436964894965,20.786127793712147,14.16120060330717,0.5401165674603174,1.6218305230140686,0.08333333333333333,577,47001,T,top_down,A류(내려다봄)
pranavsaroha/so100_onelego3,24,17.146081034106828,10.894020739357503,20.678913481177116,9.784892741819613,20.115537851413194,14.057132574752455,0.4736483134920635,0.9864220023155212,0.0,40,3281,L,top_down,A류(내려다봄)
lirislab/put_caps_into_teabox,24,17.476903393576965,14.471948912650939,19.267059784044633,4.795110871393694,20.19322003285002,14.26398051808997,0.5582217261904763,1.4526665806770325,0.0,30,2165,L,top_down,A와 B 사이
roboticshack/team16-can-stacking,24,17.75579058007198,16.41503486331343,20.38415521210783,3.9691203487944016,21.821344725074944,14.832137505690927,0.6281001984126984,1.581518143415451,0.0,40,4800,?,top_down,A와 B 사이
ganker5/so100_dataline_0328,24,17.91758340404801,14.361069480911901,19.571000413544894,5.209930932632993,21.957352578555962,14.408523128937706,0.5828993055555556,1.2443666756153107,0.041666666666666664,50,5003,?,top_down,A와 B 사이
lirislab/unfold_bottom_right,24,18.576211607792324,15.63415409941783,20.375624646941034,4.741470547523205,22.578260517583672,14.318320743281859,0.42206101190476186,1.0765397548675537,0.08333333333333333,30,1888,T,top_down,A와 B 사이
Odog16/so100_cube_drop_pick_v1,24,18.951411711255865,12.801490833073812,25.613284692003134,12.811793858929322,23.856486707453207,16.201771107171265,0.38182043650793646,1.5311305522918701,0.25,40,1947,T,top_down,A와 B 사이
Mohamedal/put_banana,24,19.064408912769217,15.533852732447679,21.383278419584887,5.849425687137208,22.654770293635288,14.818400006352569,0.501798115079365,1.2574242055416107,0.0,30,4026,T,top_down,A와 B 사이
Beegbrain/sweep_tissue_cube,24,19.154191365855837,13.986393794088535,21.722433879628746,7.7360400855402105,24.410221377882095,15.894967037819548,0.47699652777777773,0.8266027271747589,0.08333333333333333,30,3225,T,top_down,A와 B 사이
FsqZ/so100_1,24,19.85207885817554,18.401927845644188,22.458022055794714,4.056094210150526,24.643429015564898,16.627795339839075,0.6988467261904763,2.165623128414154,0.08333333333333333,40,3854,L,top_down,A와 B 사이
roboticshack/team16-water-pouring,24,20.070570041707875,15.981237790547247,22.447784054493447,6.466546263946199,24.924409324787817,16.36223335362793,0.640562996031746,1.5994206964969635,0.0,50,5993,L,top_down,A와 B 사이
00ri/so100_battery,24,20.1434346811536,16.12490528371042,23.053902283472745,6.928996999762326,23.05609038239377,16.849105885401215,0.5157490079365079,1.7750336527824402,0.20833333333333334,50,4872,T,top_down,A와 B 사이
RasmusP/so100_Orange2Green,24,21.31881830528557,18.868722787544336,22.85479809264933,3.9860753051049933,25.187925803295563,17.459588581170514,0.4786706349206349,1.8689331114292145,0.0,50,5949,L,top_down,A와 B 사이
ganker5/so100_push_20250331,24,21.472711165341284,19.778011369973765,23.668179790446807,3.8901684204730422,27.092544029707355,18.395638356287726,0.5905877976190477,1.5827178955078125,0.041666666666666664,60,7356,?,top_down,A와 B 사이
pranavsaroha/so100_onelego2,24,21.623932316019285,19.66077495701893,23.039391651525744,3.378616694506814,25.604239746275184,16.70844965674825,0.46794394841269843,0.9372710585594177,0.08333333333333333,30,2027,L,top_down,A와 B 사이
bensprenger/left_arm_yellow_brick_in_box_with_purple_noise_v0,24,21.666257902002606,17.205137759247375,26.48715652099187,9.282018761744496,26.364378110992277,18.313351035114305,0.34598214285714285,1.9377083480358124,0.375,50,6000,L,top_down,A와 B 사이
bensprenger/left_arm_yellow_brick_in_box_v0,24,21.746236433107626,17.810999163820842,23.09773709001602,5.28673792619518,24.758868440605497,16.404565846508717,0.3916170634920635,1.9164390563964844,0.08333333333333333,50,6000,L,top_down,A와 B 사이
ganker5/so100_push_20250328,24,21.843740998568215,20.44344366479824,23.306173008300743,2.862729343502501,26.49049431152593,18.256484567512654,0.6108630952380952,1.4774445295333862,0.08333333333333333,50,3234,?,top_down,A와 B 사이
pranavsaroha/so100_legos4,24,22.818061189177172,21.560248221204976,23.80781208028575,2.247563859080774,27.25194969096755,18.624202424921677,0.41834077380952384,0.937752828001976,0.16666666666666666,58,17844,L,low_angle,A와 B 사이
pranavsaroha/so100_carrot_2,24,23.712109602541343,20.640459679142317,26.975049642493172,6.3345899633508544,29.347906388117032,18.99390970467282,0.4288194444444444,0.9527954906225204,0.375,63,5069,L,low_angle,A와 B 사이
pandaRQ/pick_med_1,24,23.740178343814165,23.249754011205045,25.72832789460864,2.4785738834035946,29.371380909861855,20.127601792352245,0.6548859126984127,1.553916096687317,0.2916666666666667,100,8946,L,low_angle,A와 B 사이
ganker5/so100_color_0328,24,23.8800712777335,22.26282993836512,24.6548643218229,2.39203438345778,28.575606104266836,19.730343464666205,0.5808531746031746,2.0459452271461487,0.16666666666666666,50,3502,?,low_angle,A와 B 사이
samsam0510/glove_reorientation_1,24,24.081608840082566,19.35354269626802,26.523863006617777,7.170320310349759,28.97062208180151,18.72812711247491,0.5083705357142857,1.6704905331134796,0.375,100,6227,T,low_angle,A와 B 사이
samsam0510/cube_reorientation_4,24,24.54386169653413,23.266988211774567,26.62953604957075,3.362547837796182,28.969482691117598,20.83597408088727,0.5944940476190477,1.7183869779109955,0.4166666666666667,100,11398,T,low_angle,A와 B 사이
ganker5/so100_dataline_20250331,24,25.39174223796516,19.689841986236885,29.74000388508214,10.050161898845253,31.170430499230484,19.906813340522433,0.5009920634920635,2.050565779209137,0.5,50,6111,L,low_angle,B류(비스듬)
samsam0510/tooth_extraction_4,24,25.70325560689772,21.54183796865528,30.578806708577957,9.036968739922678,30.85812698293269,21.0087781480266,0.46688988095238093,0.9436408877372742,0.5,200,15285,L,low_angle,B류(비스듬)
dragon-95/so100_sorting_2,24,26.034667554899457,23.130341432550715,27.167084434573102,4.036743002022387,31.380006392699492,21.41785100312183,0.5330481150793651,2.187695801258087,0.5833333333333334,220,34076,L,low_angle,B류(비스듬)
jlesein/TestBoulon7,24,26.246951827251717,25.08181652062513,27.96715098637923,2.8853344657541022,32.01495027150142,21.787208098720406,0.5026041666666667,1.1459119319915771,0.5833333333333334,400,21294,L,low_angle,B류(비스듬)
dragon-95/so100_sorting_3,24,26.262754445296054,24.903204264334285,27.64596961339639,2.742765349062104,32.026555460814656,22.637396396959517,0.4906994047619047,2.211951732635498,0.6666666666666666,200,19111,L,low_angle,B류(비스듬)
AndrejOrsula/lerobot_double_ball_stacking_random,24,26.413615480610538,21.15738889071425,28.382043778032628,7.224654887318376,30.606782754360925,21.63657398251585,0.5690104166666666,1.6621781885623932,0.5416666666666666,41,2886,L,low_angle,B류(비스듬)
lirislab/put_coffee_cap_teabox,24,26.96662486569349,23.883710551681094,27.732700475210006,3.8489899235289116,30.753977431523413,20.95294247262224,0.4243551587301587,1.3763459622859955,0.625,40,2979,L,low_angle,B류(비스듬)
tkc79/so100_lego_box_2,24,28.293720667925612,26.590098331398508,29.9623711389275,3.3722728075289936,33.965993202452694,23.59142889715337,0.47743055555555547,1.5071009993553162,0.875,51,4482,L,low_angle,B류(비스듬)
triton7777/so100_dataset_mix,24,29.38106211869899,22.503190397187165,34.06781027587918,11.564619878692017,33.19015170510006,24.227364374176794,0.5248635912698413,1.4779649078845978,0.625,65,13269,L,low_angle,B류(비스듬)
samsam0510/tooth_extraction_3,24,29.595459609483527,28.291764247493173,30.745008117920804,2.453243870427631,35.625973031189446,25.353133228826298,0.4132564484126984,0.8792899399995804,1.0,100,6619,L,low_angle,B류(비스듬)
roboticshack/team13-two-balls-stacking,24,30.84118115044246,28.108458039321018,32.18421768582441,4.075759646503389,35.95327202694764,25.814016684133243,0.5731646825396826,1.430537462234497,0.9583333333333334,51,2716,L,low_angle,B류(비스듬)
ganker5/so100_toy_20250402,24,31.039932011783957,27.963953927818473,32.24507780967479,4.281123881856317,36.684568562577006,25.663981619994743,0.3919270833333333,2.052752733230591,1.0,100,10770,L,low_angle,B류(비스듬)
lirislab/guess_who_so100,24,31.755045946062346,24.947764339705486,44.71874376701008,19.770979427304596,42.41276305978049,28.11313266404465,0.37816220238095233,1.8043465912342072,0.375,96,4661,L,low_angle,B류(비스듬)
frk2/so100largediffcam,24,31.978426611372406,29.12035465167096,34.19800845069975,5.077653799028791,37.790198434686715,26.537594561534558,0.6021825396825398,2.146517038345337,0.9583333333333334,50,4500,T,low_angle,B류(비스듬)
roboticshack/team13-three-balls-stacking,24,33.084795810069,28.243337370819656,36.077037184562116,7.833699813742459,39.13314704284167,28.21052051150884,0.5150669642857143,1.2917234599590302,0.7916666666666666,101,9769,L,low_angle,B류(비스듬)
dragon-95/so100_sorting,24,33.77992046712842,31.581031241044325,34.859892753054794,3.2788615120104687,40.30944862961432,28.99477431255442,0.48883928571428564,1.6120668947696686,1.0,61,19094,L,low_angle,B류(비스듬)
CSCSXX/pick_place_cube_1.18,24,35.8344118389633,34.54022816824178,38.603239226682796,4.063011058441013,41.83415849367127,30.03555186961561,0.628844246031746,1.212750256061554,0.7916666666666666,50,3319,L,low_angle,B류(비스듬)
Bartm3/dice2,24,36.6558578511176,34.625204043547235,38.73745635921651,4.112252315669274,42.508296017630556,31.353542316697265,0.5439608134920635,1.044034332036972,0.7916666666666666,197,13216,L,low_angle,B류(비스듬)
aractingi/push_cube_offline_data,24,42.45087669695977,39.39502129325852,44.716168822054264,5.321147528795741,48.61448531454022,36.93702845306986,0.8263888888888888,3.1928808093070984,0.2916666666666667,30,1591,L,low_angle,B보다 더 비스듬
NONHUMAN-RESEARCH/SOARM100_TASK_VENDA,24,42.716351222653216,40.717039913342084,44.81739335493634,4.100353441594258,48.8710280382224,36.87012344245466,0.7039930555555556,1.8852576017379765,0.25,150,15300,L,low_angle,B보다 더 비스듬
pierfabre/horse,24,47.56017849388635,45.99055335318211,51.32047216601474,5.329918812832631,54.17821825910666,42.34670025789809,0.4344618055555556,1.6187092065811157,0.0,42,4535,L,low_angle,B보다 더 비스듬
samanthalhy/so100_herding_1,24,50.73652624765216,48.447466747967695,53.03085680591015,4.583390057942452,55.39213449639119,45.52860072050903,0.3999875992063492,1.5996743738651276,0.0,50,31772,?,low_angle,B보다 더 비스듬
pierfabre/pig3,24,52.85123922097634,48.42783014863641,54.93614074365378,6.50831059501737,58.8557506142991,47.25197671894398,0.41524057539682535,1.499664306640625,0.041666666666666664,50,5399,L,low_angle,B보다 더 비스듬
pierfabre/rabbit,24,53.52151870050408,48.466045051886056,57.40973933770363,8.943694285817571,58.284241217973516,46.05074561386667,0.39949156746031744,1.7782443761825562,0.041666666666666664,31,3337,L,low_angle,B보다 더 비스듬
pierfabre/chicken,24,53.738013826601176,51.093482044324716,56.16337733705987,5.069895292735154,60.19978889085829,47.99990437631229,0.3919890873015873,1.7140177488327026,0.0,65,7018,L,low_angle,B보다 더 비스듬
pierfabre/cow2,24,54.23859996185705,51.788664819183225,56.34460178094176,4.555936961758533,60.54025074347204,47.7920214643961,0.42596726190476186,1.4015443921089172,0.041666666666666664,40,4320,L,low_angle,B보다 더 비스듬
pierfabre/pig2,24,56.35343099373553,53.12319084686068,59.13998501331967,6.016794166458986,62.52895436612618,50.368151002178436,0.41666666666666663,1.4884312748908997,0.041666666666666664,50,5380,L,low_angle,B보다 더 비스듬
Chojins/chess_game_000_white_red,24,57.85346882601334,21.931266759565926,61.55383261901541,39.62256585944948,63.36218932048902,52.23402330455474,0.5708705357142857,1.9022781252861023,0.16666666666666666,103,8120,T,low_angle,B보다 더 비스듬
pierfabre/sheep,24,58.88280832295197,55.60510533995061,62.210397260593865,6.605291920643253,63.67685284628924,53.3948327409215,0.414000496031746,1.5571981072425842,0.0,60,6479,L,low_angle,B보다 더 비스듬
sixpigs1/so100_stack_cube_error,24,58.98929056046951,57.748583238481736,59.770783931217935,2.022200692736199,64.16872636897098,53.79976304248467,0.6955605158730158,1.8621494770050049,0.0,80,4721,?,low_angle,B보다 더 비스듬
nbaron99/so100_pick_and_place4,24,59.02917016984364,58.28057199361301,60.371349091951025,2.090777098338016,64.87186574494515,53.97282248907351,0.460875496031746,1.8044659197330475,0.0,100,5973,L,low_angle,B보다 더 비스듬
paszea/so100_whale_3,24,59.4086393145018,57.79639581444782,60.387962254096976,2.5915664396491565,64.52279374086754,54.117159688111826,0.6174355158730158,1.1393176019191742,0.0,35,4038,L,low_angle,B보다 더 비스듬
pietroom/actualeasytask,24,60.01151162775327,58.98614025860206,62.08011831664898,3.0939780580469147,65.50843872459889,55.03589179204332,0.2878224206349206,1.8143072128295898,0.0,60,3600,L,low_angle,B보다 더 비스듬
paszea/so100_whale_4,24,60.43018076227061,59.560786718392414,62.58059806571402,3.019811347321607,65.4730534760105,55.39301884140761,0.6760292658730159,1.1212615072727203,0.0,60,6916,L,low_angle,B보다 더 비스듬
pietroom/holdthis,24,60.86050907823855,59.771365774486846,62.77914304028556,3.0077772657987154,66.18788109743677,55.709104930276176,0.48623511904761907,1.9616098999977112,0.0,90,8100,L,low_angle,B보다 더 비스듬
paszea/so100_lego_2cam,24,61.47789912237583,59.52405676956419,66.31626674210005,6.792209972535865,66.2747338111543,56.93989075867764,0.7938988095238095,1.1178987920284271,0.0,40,17640,L,low_angle,B보다 더 비스듬
DorayakiLin/so100_pick_charger_on_tissue,24,61.786998515041624,60.58890098608339,62.41629413695149,1.8273931508681045,66.79522016866377,56.791025067454214,0.7513640873015872,1.2803383767604828,0.0,50,5125,T,low_angle,B보다 더 비스듬
bensprenger/chess_game_001_blue_stereo,24,62.93866392899136,60.51513833682651,63.94079512155582,3.4256567847293127,66.96323960323085,57.518792212451714,0.42609126984126977,2.6640621423721313,0.041666666666666664,307,22029,L,low_angle,B보다 더 비스듬
FeiYjf/new_GtoR,24,63.314307583031486,58.037695843972145,65.74440635792953,7.70671051395739,67.65877571662195,57.572846182222165,0.28546626984126977,2.2368234992027283,0.0,378,25420,L,low_angle,B보다 더 비스듬
koenvanwijk/orange50-1,24,63.354056990240515,62.448179002806256,64.22529834948449,1.7771193466782336,68.368051382412,58.75124656762383,0.5443328373015872,1.3143909275531769,0.0,50,1606,L,low_angle,B보다 더 비스듬
paszea/so100_lego,24,63.483288894672164,63.07708831510334,64.56542449349325,1.4883361783899147,68.09071989677818,58.667859353234725,0.6056547619047619,1.4572717249393463,0.0,50,7573,L,low_angle,B보다 더 비스듬
paszea/so100_whale_2,24,63.861025271819955,62.73305059714839,64.46538896774408,1.7323383705956843,68.60277126562703,58.52352089574235,0.6161334325396826,1.1479852497577667,0.0,50,5650,L,low_angle,B보다 더 비스듬
Chojins/chess_game_009_white,24,64.09906418881192,61.44443864368361,65.62578889958927,4.181350255905656,68.49264648329935,59.410223805221676,0.5993923611111112,2.0080456733703613,0.0,342,28272,L,low_angle,B보다 더 비스듬
koenvanwijk/orange50-variation-2,24,64.85584643452418,63.774427609183036,65.37040923908785,1.5959816299048128,69.0125776830392,60.285322243046295,0.5523313492063492,1.230006843805313,0.0,50,1438,L,low_angle,B보다 더 비스듬
aimihat/so100_tape,24,66.03859487677508,65.32755813649786,66.58547582504826,1.2579176885504069,70.18581160272501,61.458269237835474,0.5528273809523809,1.0822070837020874,0.0,30,2700,L,low_angle,B보다 더 비스듬
therarelab/so100_pick_place_2,24,75.34040160832555,73.797406109978,79.57140442817742,5.773998318199418,77.99902143082537,72.51668125231618,0.7872023809523809,1.738461822271347,0.0,60,5026,L,low_angle,B보다 더 비스듬
Mwuqiu/so100_0408_muti,24,75.96164340210129,75.09370486302328,77.31317806695421,2.2194732039309315,78.66200015889288,73.52443871602154,0.5977802579365079,3.1792285442352295,0.0,66,5756,L,low_angle,B보다 더 비스듬
roboticshack/team9-pick_chicken_place_plate,24,76.62829925918774,75.63102322560732,78.77764832408381,3.146625098476491,79.22801206423642,74.09124818700208,0.4818948412698413,1.1946473121643066,0.0,69,3960,L,low_angle,B보다 더 비스듬
roboticshack/team9-pick_cube_place_static_plate,24,77.2729370026716,76.13564736372759,78.18602373145812,2.0503763677305358,79.66780587570025,74.8271367764126,0.5548735119047619,1.16472589969635,0.0,40,2205,L,low_angle,B보다 더 비스듬
Jiafei1224/so100_pa222per,24,82.11414384991917,47.784083516662584,83.21979113547361,35.43570761881103,81.54302636648598,78.11126571659254,0.25074404761904756,2.981892228126526,0.0,30,2700,L,low_angle,B보다 더 비스듬
